file,label,koin_ke,center_x,center_y,radius_px,diameter_px
100_28.jpeg,koin_100,2,128,140,53,106
100_28.jpeg,koin_100,3,198,34,53,106
100_29.jpeg,koin_100,1,200,332,53,106
100_29.jpeg,koin_100,2,326,334,53,106
100_29.jpeg,koin_100,3,282,204,53,106
100_30.jpeg,koin_100,1,96,280,53,106
100_30.jpeg,koin_100,2,206,202,53,106
100_30.jpeg,koin_100,3,116,98,48,96
100_31.jpeg,koin_100,1,174,288,53,106
100_31.jpeg,koin_100,2,174,118,50,100
100_31.jpeg,koin_100,3,262,196,53,106
100_31.jpeg,koin_100,4,270,32,50,100
100_32.jpeg,koin_100,1,270,268,53,106
100_32.jpeg,koin_100,2,132,110,52,104
100_32.jpeg,koin_100,3,264,110,52,104
100_32.jpeg,koin_100,4,130,262,52,104
100_33.jpeg,koin_100,1,310,202,53,106
100_33.jpeg,koin_100,2,200,224,53,106
100_33.jpeg,koin_100,3,88,342,54,108
100_33.jpeg,koin_100,4,212,344,52,104
100_34.jpeg,koin_100,1,306,74,52,104
100_34.jpeg,koin_100,2,160,254,48,96
100_34.jpeg,koin_100,3,82,340,54,108
100_34.jpeg,koin_100,4,240,166,48,96
100_35.jpeg,koin_100,1,252,194,53,106
100_35.jpeg,koin_100,2,332,102,53,106
100_35.jpeg,koin_100,3,154,122,50,100
100_35.jpeg,koin_100,4,238,38,53,106
100_36.jpeg,koin_100,1,218,256,53,106
100_36.jpeg,koin_100,2,310,168,52,104
100_36.jpeg,koin_100,3,120,350,48,96
100_36.jpeg,koin_100,4,286,374,53,106
100_37.jpeg,koin_100,1,92,54,53,106
100_37.jpeg,koin_100,2,210,86,52,104
100_37.jpeg,koin_100,3,220,256,53,106
100_37.jpeg,koin_100,4,112,218,51,102
100_38.jpeg,koin_100,1,300,234,52,104
100_38.jpeg,koin_100,2,194,128,51,102
100_38.jpeg,koin_100,3,86,38,53,106
100_38.jpeg,koin_100,4,208,346,46,92
100_39.jpeg,koin_100,1,192,142,52,104
100_39.jpeg,koin_100,2,238,332,54,108
100_39.jpeg,koin_100,3,316,172,53,106
100_39.jpeg,koin_100,4,98,256,53,106
100_40.jpeg,koin_100,1,82,38,48,96
100_40.jpeg,koin_100,2,192,142,53,106
100_40.jpeg,koin_100,3,298,32,52,104
100_40.jpeg,koin_100,4,306,248,46,92
100_41.jpeg,koin_100,1,200,334,54,108
100_41.jpeg,koin_100,2,84,92,52,104
100_41.jpeg,koin_100,3,194,180,53,106
100_41.jpeg,koin_100,4,90,280,46,92
100_41.jpeg,koin_100,5,312,386,53,106
100_42.jpeg,koin_100,1,232,128,52,104
100_42.jpeg,koin_100,2,326,36,53,106
100_42.jpeg,koin_100,3,124,218,53,106
100_42.jpeg,koin_100,4,274,254,52,104
100_42.jpeg,koin_100,5,168,36,52,104
100_43.jpeg,koin_100,1,324,286,53,106
100_43.jpeg,koin_100,2,194,182,52,104
100_43.jpeg,koin_100,3,86,276,48,96
100_43.jpeg,koin_100,4,82,90,50,100
100_43.jpeg,koin_100,5,310,90,53,106
100_44.jpeg,koin_100,1,316,204,48,96
100_44.jpeg,koin_100,2,316,46,48,96
100_44.jpeg,koin_100,3,194,314,53,106
100_44.jpeg,koin_100,4,76,306,51,102
100_44.jpeg,koin_100,5,316,380,55,110
100_45.jpeg,koin_100,1,76,60,53,106
100_45.jpeg,koin_100,2,318,316,49,98
100_45.jpeg,koin_100,3,78,304,53,106
100_45.jpeg,koin_100,4,198,314,51,102
100_45.jpeg,koin_100,5,82,180,47,94
100_46.jpeg,koin_100,1,120,256,52,104
100_46.jpeg,koin_100,2,278,48,53,106
100_46.jpeg,koin_100,3,200,144,53,106
100_46.jpeg,koin_100,4,318,214,47,94
100_46.jpeg,koin_100,5,96,64,46,92
100_47.jpeg,koin_100,1,186,248,53,106
100_47.jpeg,koin_100,2,76,224,52,104
100_47.jpeg,koin_100,3,266,354,49,98
100_47.jpeg,koin_100,4,304,226,48,96
100_47.jpeg,koin_100,5,118,360,51,102
100_48.jpeg,koin_100,1,204,164,52,104
100_48.jpeg,koin_100,2,122,62,48,96
100_48.jpeg,koin_100,3,326,142,52,104
100_48.jpeg,koin_100,4,284,272,53,106
100_48.jpeg,koin_100,5,230,42,50,100
100_49.jpeg,koin_100,1,122,158,52,104
100_49.jpeg,koin_100,2,236,118,48,96
100_49.jpeg,koin_100,3,96,328,53,106
100_49.jpeg,koin_100,4,282,284,50,100
100_49.jpeg,koin_100,5,204,384,51,102
100_50.jpeg,koin_100,1,210,76,53,106
100_50.jpeg,koin_100,2,102,26,52,104
100_50.jpeg,koin_100,3,288,264,53,106
100_50.jpeg,koin_100,4,310,146,50,100
100_50.jpeg,koin_100,5,310,8,52,104
1000_01.jpeg,koin_1000,1,198,190,56,112
1000_02.jpeg,koin_1000,1,324,24,57,114
1000_03.jpeg,koin_1000,1,86,20,56,112
1000_04.jpeg,koin_1000,1,328,204,55,110
1000_05.jpeg,koin_1000,1,196,32,57,114
1000_06.jpeg,koin_1000,1,80,332,56,112
1000_07.jpeg,koin_1000,1,86,198,56,112
1000_08.jpeg,koin_1000,1,130,276,56,112
1000_09.jpeg,koin_1000,1,256,120,56,112
1000_10.jpeg,koin_1000,1,314,342,56,112
1000_11.jpeg,koin_1000,1,244,300,56,112
1000_11.jpeg,koin_1000,2,252,132,56,112
1000_12.jpeg,koin_1000,1,256,192,55,110
1000_12.jpeg,koin_1000,2,122,104,56,112
1000_13.jpeg,koin_1000,1,126,270,56,112
1000_13.jpeg,koin_1000,2,254,126,56,112
1000_14.jpeg,koin_1000,1,200,184,56,112
1000_14.jpeg,koin_1000,2,106,96,55,110
1000_15.jpeg,koin_1000,1,278,232,56,112
1000_15.jpeg,koin_1000,2,128,316,56,112
1000_16.jpeg,koin_1000,1,176,164,56,112
1000_16.jpeg,koin_1000,2,256,246,56,112
1000_17.jpeg,koin_1000,1,262,220,56,112
1000_17.jpeg,koin_1000,2,260,350,56,112
1000_18.jpeg,koin_1000,1,148,110,56,112
1000_18.jpeg,koin_1000,2,272,64,57,114
1000_19.jpeg,koin_1000,1,96,276,56,112
1000_19.jpeg,koin_1000,2,92,138,56,112
1000_20.jpeg,koin_1000,1,104,362,56,112
1000_20.jpeg,koin_1000,2,294,362,56,112
1000_21.jpeg,koin_1000,1,98,260,57,114
1000_21.jpeg,koin_1000,2,94,138,56,112
1000_21.jpeg,koin_1000,3,208,204,57,114
1000_22.jpeg,koin_1000,1,96,138,56,112
1000_22.jpeg,koin_1000,2,302,46,56,112
1000_22.jpeg,koin_1000,3,308,288,56,112
1000_23.jpeg,koin_1000,1,94,140,56,112
1000_23.jpeg,koin_1000,2,208,204,56,112
1000_23.jpeg,koin_1000,3,310,288,56,112
1000_24.jpeg,koin_1000,1,124,82,56,112
1000_24.jpeg,koin_1000,2,200,178,56,112
1000_24.jpeg,koin_1000,3,256,72,56,112
1000_25.jpeg,koin_1000,1,196,352,56,112
1000_25.jpeg,koin_1000,2,198,30,58,116
1000_25.jpeg,koin_1000,3,198,194,57,114
1000_26.jpeg,koin_1000,1,116,72,57,114
1000_26.jpeg,koin_1000,2,316,360,56,112
1000_26.jpeg,koin_1000,3,114,352,57,114
1000_27.jpeg,koin_1000,1,252,118,56,112
1000_27.jpeg,koin_1000,2,184,236,56,112
1000_27.jpeg,koin_1000,3,110,352,58,116
1000_28.jpeg,koin_1000,1,198,354,56,112
1000_28.jpeg,koin_1000,2,108,88,58,116
1000_28.jpeg,koin_1000,3,292,186,58,116
1000_29.jpeg,koin_1000,1,252,280,56,112
1000_29.jpeg,koin_1000,2,246,118,56,112
1000_29.jpeg,koin_1000,3,96,94,58,116
1000_30.jpeg,koin_1000,1,274,334,56,112
1000_30.jpeg,koin_1000,2,278,164,56,112
1000_30.jpeg,koin_1000,3,186,250,56,112
1000_31.jpeg,koin_1000,1,138,236,56,112
1000_31.jpeg,koin_1000,2,248,146,56,112
1000_31.jpeg,koin_1000,3,124,360,56,112
1000_31.jpeg,koin_1000,4,260,290,58,116
1000_32.jpeg,koin_1000,1,114,246,56,112
1000_32.jpeg,koin_1000,2,96,96,57,114
1000_32.jpeg,koin_1000,3,258,290,56,112
1000_32.jpeg,koin_1000,4,244,120,56,112
1000_33.jpeg,koin_1000,1,128,230,56,112
1000_33.jpeg,koin_1000,2,274,232,56,112
1000_33.jpeg,koin_1000,3,274,92,55,110
1000_33.jpeg,koin_1000,4,130,368,56,112
1000_34.jpeg,koin_1000,1,132,192,56,112
1000_34.jpeg,koin_1000,2,248,128,56,112
1000_34.jpeg,koin_1000,3,244,260,55,110
1000_34.jpeg,koin_1000,4,122,62,56,112
1000_35.jpeg,koin_1000,1,212,252,56,112
1000_35.jpeg,koin_1000,2,158,88,56,112
1000_35.jpeg,koin_1000,3,314,82,59,118
1000_35.jpeg,koin_1000,4,92,370,56,112
1000_36.jpeg,koin_1000,1,216,248,56,112
1000_36.jpeg,koin_1000,2,302,344,56,112
1000_36.jpeg,koin_1000,3,148,138,57,114
1000_36.jpeg,koin_1000,4,76,20,59,118
1000_37.jpeg,koin_1000,1,94,324,56,112
1000_37.jpeg,koin_1000,2,106,30,57,114
1000_37.jpeg,koin_1000,3,270,210,55,110
1000_37.jpeg,koin_1000,4,246,34,56,112
1000_38.jpeg,koin_1000,1,306,272,56,112
1000_38.jpeg,koin_1000,2,184,156,56,112
1000_38.jpeg,koin_1000,3,310,150,56,112
1000_38.jpeg,koin_1000,4,312,16,58,116
1000_39.jpeg,koin_1000,1,316,66,57,114
1000_39.jpeg,koin_1000,2,236,310,56,112
1000_39.jpeg,koin_1000,3,124,212,56,112
1000_39.jpeg,koin_1000,4,248,176,56,112
1000_40.jpeg,koin_1000,1,226,172,56,112
1000_40.jpeg,koin_1000,2,154,272,56,112
1000_40.jpeg,koin_1000,3,100,162,57,114
1000_40.jpeg,koin_1000,4,84,374,56,112
1000_41.jpeg,koin_1000,1,328,44,56,112
1000_41.jpeg,koin_1000,2,196,212,55,110
1000_41.jpeg,koin_1000,3,64,370,56,112
1000_41.jpeg,koin_1000,4,70,20,57,114
1000_41.jpeg,koin_1000,5,320,362,56,112
1000_42.jpeg,koin_1000,1,154,272,56,112
1000_42.jpeg,koin_1000,2,288,62,56,112
1000_42.jpeg,koin_1000,3,226,172,56,112
1000_42.jpeg,koin_1000,4,102,162,56,112
1000_42.jpeg,koin_1000,5,86,376,56,112
1000_43.jpeg,koin_1000,1,222,296,56,112
1000_43.jpeg,koin_1000,2,322,62,56,112
1000_43.jpeg,koin_1000,3,214,166,56,112
1000_43.jpeg,koin_1000,4,88,60,56,112
1000_43.jpeg,koin_1000,5,206,24,56,112
1000_44.jpeg,koin_1000,1,168,284,56,112
1000_44.jpeg,koin_1000,2,300,312,56,112
1000_44.jpeg,koin_1000,3,150,98,56,112
1000_44.jpeg,koin_1000,4,254,174,56,112
1000_44.jpeg,koin_1000,5,284,32,56,112
1000_45.jpeg,koin_1000,1,112,196,56,112
1000_45.jpeg,koin_1000,2,216,294,56,112
1000_45.jpeg,koin_1000,3,240,182,56,112
1000_45.jpeg,koin_1000,4,110,338,57,114
1000_45.jpeg,koin_1000,5,292,384,56,112
1000_46.jpeg,koin_1000,1,200,182,55,110
1000_46.jpeg,koin_1000,2,114,90,57,114
1000_46.jpeg,koin_1000,3,82,242,56,112
1000_46.jpeg,koin_1000,4,292,264,56,112
1000_46.jpeg,koin_1000,5,186,354,59,118
1000_47.jpeg,koin_1000,1,100,76,56,112
1000_47.jpeg,koin_1000,2,286,110,56,112
1000_47.jpeg,koin_1000,3,186,230,56,112
1000_47.jpeg,koin_1000,4,102,360,58,116
1000_47.jpeg,koin_1000,5,286,356,56,112
1000_48.jpeg,koin_1000,1,162,172,56,112
1000_48.jpeg,koin_1000,2,170,296,56,112
1000_48.jpeg,koin_1000,3,312,108,57,114
1000_48.jpeg,koin_1000,4,216,32,58,116
1000_48.jpeg,koin_1000,5,92,34,55,110
1000_49.jpeg,koin_1000,1,186,264,56,112
1000_49.jpeg,koin_1000,2,86,160,56,112
1000_49.jpeg,koin_1000,3,280,350,56,112
1000_49.jpeg,koin_1000,4,284,160,56,112
1000_49.jpeg,koin_1000,5,126,374,57,114
1000_50.jpeg,koin_1000,1,320,54,56,112
1000_50.jpeg,koin_1000,2,252,194,56,112
1000_50.jpeg,koin_1000,3,102,360,56,112
1000_50.jpeg,koin_1000,4,106,212,56,112
1000_50.jpeg,koin_1000,5,102,76,57,114
200_01.jpeg,koin_200,1,196,38,58,116
200_02.jpeg,koin_200,1,196,198,58,116
200_03.jpeg,koin_200,1,280,346,58,116
200_04.jpeg,koin_200,1,282,188,58,116
200_05.jpeg,koin_200,1,280,50,56,112
200_06.jpeg,koin_200,1,86,358,60,120
200_07.jpeg,koin_200,1,132,102,57,114
200_08.jpeg,koin_200,1,302,360,57,114
200_09.jpeg,koin_200,1,268,290,60,120
200_10.jpeg,koin_200,1,108,200,60,120
200_11.jpeg,koin_200,1,280,208,59,118
200_11.jpeg,koin_200,2,118,200,59,118
200_12.jpeg,koin_200,1,304,214,59,118
200_12.jpeg,koin_200,2,298,46,58,116
200_13.jpeg,koin_200,1,80,42,57,114
200_13.jpeg,koin_200,2,216,56,57,114
200_14.jpeg,koin_200,1,158,218,58,116
200_14.jpeg,koin_200,2,240,346,56,112
200_15.jpeg,koin_200,1,96,224,58,116
200_15.jpeg,koin_200,2,128,62,55,110
200_16.jpeg,koin_200,1,298,286,59,118
200_16.jpeg,koin_200,2,120,338,59,118
200_17.jpeg,koin_200,1,132,108,58,116
200_17.jpeg,koin_200,2,260,278,58,116
200_18.jpeg,koin_200,1,300,102,57,114
200_18.jpeg,koin_200,2,104,282,61,122
200_19.jpeg,koin_200,1,200,196,58,116
200_19.jpeg,koin_200,2,198,28,61,122
200_20.jpeg,koin_200,1,204,230,58,116
200_20.jpeg,koin_200,2,308,360,59,118
200_21.jpeg,koin_200,1,70,200,59,118
200_21.jpeg,koin_200,2,326,200,58,116
200_21.jpeg,koin_200,3,198,198,58,116
200_22.jpeg,koin_200,1,120,210,58,116
200_22.jpeg,koin_200,2,198,42,57,114
200_22.jpeg,koin_200,3,268,290,58,116
200_23.jpeg,koin_200,1,110,306,56,112
200_23.jpeg,koin_200,2,280,220,59,118
200_23.jpeg,koin_200,3,126,90,56,112
200_24.jpeg,koin_200,1,290,172,56,112
200_24.jpeg,koin_200,2,124,92,56,112
200_24.jpeg,koin_200,3,244,384,57,114
200_25.jpeg,koin_200,1,202,208,56,112
200_25.jpeg,koin_200,2,184,68,56,112
200_25.jpeg,koin_200,3,204,348,59,118
200_26.jpeg,koin_200,1,200,198,59,118
200_26.jpeg,koin_200,2,86,38,56,112
200_26.jpeg,koin_200,3,316,352,59,118
200_27.jpeg,koin_200,1,94,242,59,118
200_27.jpeg,koin_200,2,276,48,57,114
200_27.jpeg,koin_200,3,272,336,58,116
200_28.jpeg,koin_200,1,108,56,58,116
200_28.jpeg,koin_200,2,134,332,58,116
200_28.jpeg,koin_200,3,284,132,56,112
200_29.jpeg,koin_200,1,198,192,59,118
200_29.jpeg,koin_200,2,312,20,56,112
200_29.jpeg,koin_200,3,82,348,58,116
200_30.jpeg,koin_200,1,152,76,58,116
200_30.jpeg,koin_200,2,144,240,58,116
200_30.jpeg,koin_200,3,262,172,57,114
200_31.jpeg,koin_200,1,298,70,56,112
200_31.jpeg,koin_200,2,308,344,59,118
200_31.jpeg,koin_200,3,80,346,57,114
200_31.jpeg,koin_200,4,94,52,57,114
200_32.jpeg,koin_200,1,100,274,59,118
200_32.jpeg,koin_200,2,142,126,59,118
200_32.jpeg,koin_200,3,266,250,55,110
200_32.jpeg,koin_200,4,298,68,58,116
200_33.jpeg,koin_200,1,230,240,58,116
200_33.jpeg,koin_200,2,134,338,58,116
200_33.jpeg,koin_200,3,318,130,57,114
200_33.jpeg,koin_200,4,214,36,57,114
200_34.jpeg,koin_200,1,170,82,57,114
200_34.jpeg,koin_200,2,192,278,56,112
200_34.jpeg,koin_200,3,80,344,57,114
200_34.jpeg,koin_200,4,72,170,55,110
200_35.jpeg,koin_200,1,200,196,59,118
200_35.jpeg,koin_200,2,116,356,59,118
200_35.jpeg,koin_200,3,272,362,59,118
200_35.jpeg,koin_200,4,104,54,57,114
200_36.jpeg,koin_200,1,130,216,58,116
200_36.jpeg,koin_200,2,270,354,59,118
200_36.jpeg,koin_200,3,266,206,55,110
200_36.jpeg,koin_200,4,140,352,58,116
200_37.jpeg,koin_200,1,198,198,56,112
200_37.jpeg,koin_200,2,318,308,60,120
200_37.jpeg,koin_200,3,302,64,56,112
200_37.jpeg,koin_200,4,114,358,56,112
200_38.jpeg,koin_200,1,270,228,58,116
200_38.jpeg,koin_200,2,146,210,59,118
200_38.jpeg,koin_200,3,218,88,56,112
200_38.jpeg,koin_200,4,92,70,56,112
200_39.jpeg,koin_200,1,210,142,60,120
200_39.jpeg,koin_200,2,110,250,60,120
200_39.jpeg,koin_200,3,204,356,58,116
200_39.jpeg,koin_200,4,322,30,56,112
200_40.jpeg,koin_200,1,208,142,58,116
200_40.jpeg,koin_200,2,204,356,59,118
200_40.jpeg,koin_200,3,110,248,58,116
200_40.jpeg,koin_200,4,102,32,58,116
200_41.jpeg,koin_200,1,112,248,59,118
200_41.jpeg,koin_200,2,208,140,57,114
200_41.jpeg,koin_200,3,316,244,57,114
200_41.jpeg,koin_200,4,204,358,59,118
200_41.jpeg,koin_200,5,104,32,60,120
200_42.jpeg,koin_200,1,310,350,59,118
200_42.jpeg,koin_200,2,208,140,57,114
200_42.jpeg,koin_200,3,308,32,57,114
200_42.jpeg,koin_200,4,72,34,58,116
200_42.jpeg,koin_200,5,106,340,58,116
200_43.jpeg,koin_200,1,314,222,58,116
200_43.jpeg,koin_200,2,210,140,57,114
200_43.jpeg,koin_200,3,224,336,57,114
200_43.jpeg,koin_200,4,112,248,56,112
200_43.jpeg,koin_200,5,306,32,58,116
200_44.jpeg,koin_200,1,104,210,58,116
200_44.jpeg,koin_200,2,224,88,58,116
200_44.jpeg,koin_200,3,72,34,58,116
200_44.jpeg,koin_200,4,274,268,60,120
200_44.jpeg,koin_200,5,172,374,58,116
200_45.jpeg,koin_200,1,130,302,59,118
200_45.jpeg,koin_200,2,276,314,60,120
200_45.jpeg,koin_200,3,208,158,58,116
200_45.jpeg,koin_200,4,144,8,60,120
200_45.jpeg,koin_200,5,282,12,60,120
200_46.jpeg,koin_200,1,288,268,59,118
200_46.jpeg,koin_200,2,86,226,59,118
200_46.jpeg,koin_200,3,272,82,56,112
200_46.jpeg,koin_200,4,124,40,57,114
200_46.jpeg,koin_200,5,156,370,56,112
200_47.jpeg,koin_200,1,300,296,59,118
200_47.jpeg,koin_200,2,168,308,59,118
200_47.jpeg,koin_200,3,204,176,58,116
200_47.jpeg,koin_200,4,170,52,58,116
200_47.jpeg,koin_200,5,310,66,57,114
200_48.jpeg,koin_200,1,188,282,58,116
200_48.jpeg,koin_200,2,128,52,56,112
200_48.jpeg,koin_200,3,74,360,59,118
200_48.jpeg,koin_200,4,314,40,60,120
200_48.jpeg,koin_200,5,316,368,59,118
200_49.jpeg,koin_200,1,102,270,58,116
200_49.jpeg,koin_200,2,314,212,58,116
200_49.jpeg,koin_200,3,310,38,58,116
200_49.jpeg,koin_200,4,98,132,60,120
200_49.jpeg,koin_200,5,308,368,57,114
200_50.jpeg,koin_200,1,122,292,59,118
200_50.jpeg,koin_200,2,262,176,57,114
200_50.jpeg,koin_200,3,258,382,58,116
200_50.jpeg,koin_200,4,280,42,60,120
200_50.jpeg,koin_200,5,116,12,56,112
500_01.jpeg,koin_500,1,110,346,62,124
500_02.jpeg,koin_500,1,134,108,62,124
500_03.jpeg,koin_500,1,260,102,61,122
500_04.jpeg,koin_500,1,260,276,63,126
500_05.jpeg,koin_500,1,298,370,63,126
500_06.jpeg,koin_500,1,90,210,65,130
500_07.jpeg,koin_500,1,92,352,65,130
500_08.jpeg,koin_500,1,314,246,63,126
500_09.jpeg,koin_500,1,196,36,64,128
500_10.jpeg,koin_500,1,90,24,64,128
500_11.jpeg,koin_500,1,276,46,65,130
500_11.jpeg,koin_500,2,134,46,62,124
500_12.jpeg,koin_500,1,104,274,65,130
500_12.jpeg,koin_500,2,228,168,62,124
500_13.jpeg,koin_500,1,228,166,64,128
500_13.jpeg,koin_500,2,132,46,64,128
500_14.jpeg,koin_500,1,200,220,64,128
500_14.jpeg,koin_500,2,286,340,62,124
500_15.jpeg,koin_500,1,298,210,58,116
500_15.jpeg,koin_500,2,294,52,65,130
500_16.jpeg,koin_500,1,182,210,64,128
500_16.jpeg,koin_500,2,298,36,61,122
500_17.jpeg,koin_500,1,122,354,64,128
500_17.jpeg,koin_500,2,284,360,63,126
500_18.jpeg,koin_500,1,294,108,64,128
500_18.jpeg,koin_500,2,152,190,62,124
500_19.jpeg,koin_500,1,182,212,59,118
500_19.jpeg,koin_500,2,312,358,64,128
500_20.jpeg,koin_500,1,154,190,64,128
500_20.jpeg,koin_500,2,286,142,60,120
500_20.jpeg,koin_500,3,276,278,58,116
500_21.jpeg,koin_500,1,246,200,64,128
500_21.jpeg,koin_500,2,126,64,63,126
500_21.jpeg,koin_500,3,130,352,58,116
500_22.jpeg,koin_500,1,276,280,65,130
500_22.jpeg,koin_500,2,156,192,62,124
500_23.jpeg,koin_500,1,294,72,65,130
500_23.jpeg,koin_500,2,202,206,64,128
500_23.jpeg,koin_500,3,126,62,60,120
500_24.jpeg,koin_500,1,128,66,65,130
500_24.jpeg,koin_500,2,310,358,63,126
500_24.jpeg,koin_500,3,244,200,58,116
500_25.jpeg,koin_500,1,104,70,60,120
500_25.jpeg,koin_500,2,220,194,64,128
500_25.jpeg,koin_500,3,274,46,63,126
500_26.jpeg,koin_500,1,206,212,64,128
500_26.jpeg,koin_500,2,126,62,59,118
500_26.jpeg,koin_500,3,92,344,65,130
500_27.jpeg,koin_500,1,218,210,64,128
500_27.jpeg,koin_500,2,114,356,64,128
500_27.jpeg,koin_500,3,296,362,63,126
500_28.jpeg,koin_500,1,282,328,64,128
500_28.jpeg,koin_500,2,320,186,58,116
500_28.jpeg,koin_500,3,252,42,64,128
500_29.jpeg,koin_500,1,176,200,62,124
500_29.jpeg,koin_500,2,276,340,59,118
500_29.jpeg,koin_500,3,86,44,60,120
500_30.jpeg,koin_500,1,202,202,64,128
500_30.jpeg,koin_500,2,312,62,65,130
500_30.jpeg,koin_500,3,102,354,63,126
500_31.jpeg,koin_500,1,110,78,64,128
500_31.jpeg,koin_500,2,300,332,64,128
500_31.jpeg,koin_500,3,314,62,59,118
500_31.jpeg,koin_500,4,208,206,64,128
500_32.jpeg,koin_500,1,206,204,64,128
500_32.jpeg,koin_500,2,112,78,64,128
500_32.jpeg,koin_500,3,312,62,61,122
500_32.jpeg,koin_500,4,106,354,62,124
500_33.jpeg,koin_500,1,142,312,64,128
500_33.jpeg,koin_500,2,294,330,63,126
500_33.jpeg,koin_500,3,154,164,59,118
500_33.jpeg,koin_500,4,306,146,62,124
500_34.jpeg,koin_500,1,294,306,58,116
500_34.jpeg,koin_500,2,88,60,60,120
500_34.jpeg,koin_500,3,222,162,64,128
500_34.jpeg,koin_500,4,300,28,63,126
500_35.jpeg,koin_500,1,110,72,62,124
500_35.jpeg,koin_500,2,292,78,62,124
500_35.jpeg,koin_500,3,94,358,60,120
500_35.jpeg,koin_500,4,298,364,65,130
500_36.jpeg,koin_500,1,232,246,64,128
500_36.jpeg,koin_500,2,168,118,64,128
500_36.jpeg,koin_500,3,116,334,58,116
500_36.jpeg,koin_500,4,300,46,60,120
500_37.jpeg,koin_500,1,220,214,64,128
500_37.jpeg,koin_500,2,90,148,64,128
500_37.jpeg,koin_500,3,106,358,63,126
500_37.jpeg,koin_500,4,282,356,60,120
500_38.jpeg,koin_500,1,238,174,64,128
500_38.jpeg,koin_500,2,280,306,64,128
500_38.jpeg,koin_500,3,298,34,65,130
500_38.jpeg,koin_500,4,132,58,62,124
500_39.jpeg,koin_500,1,132,62,65,130
500_39.jpeg,koin_500,2,118,338,60,120
500_39.jpeg,koin_500,3,214,202,64,128
500_39.jpeg,koin_500,4,292,332,61,122
500_40.jpeg,koin_500,1,186,226,64,128
500_40.jpeg,koin_500,2,294,144,64,128
500_40.jpeg,koin_500,3,96,326,64,128
500_40.jpeg,koin_500,4,108,104,60,120
500_41.jpeg,koin_500,1,304,310,64,128
500_41.jpeg,koin_500,2,296,42,66,132
500_41.jpeg,koin_500,3,98,340,62,124
500_41.jpeg,koin_500,4,196,186,61,122
500_41.jpeg,koin_500,5,98,52,64,128
500_42.jpeg,koin_500,1,100,194,64,128
500_42.jpeg,koin_500,2,96,50,65,130
500_42.jpeg,koin_500,3,226,134,62,124
500_42.jpeg,koin_500,4,96,336,65,130
500_42.jpeg,koin_500,5,232,288,60,120
500_43.jpeg,koin_500,1,310,66,61,122
500_43.jpeg,koin_500,2,112,300,61,122
500_43.jpeg,koin_500,3,106,140,62,124
500_43.jpeg,koin_500,4,300,330,64,128
500_43.jpeg,koin_500,5,238,192,62,124
500_44.jpeg,koin_500,1,288,284,64,128
500_44.jpeg,koin_500,2,210,118,63,126
500_44.jpeg,koin_500,3,148,280,63,126
